Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Syberia 2,-95%,Matches previous low,$29.99,$1.49,Sale ends November 4
DreamWorks Dragons Dawn of New Riders,-51%,[],$39.99,$19.78,[]
Pokkén Tournament DX,-17%,[],$59.99,$49.99,[]
BATTLESHIP,-50%,[],$19.99,$9.99,Sale ends in 47 hours
Nintendo Labo Toy-Con 03: Vehicle Kit,-51%,[],$69.99,$33.99,[]
Bargain Hunter,-30%,[],$12.49,$8.74,Sale ends November 1
SteamWorld Dig 2,-60%,Matches previous low,$19.99,$7.99,Sale ends November 1
MONOPOLY,-75%,Matches previous low,$39.99,$9.99,Sale ends November 1
Everspace - Stellar Edition,-50%,[],$39.99,$19.93,[]
Death and Taxes,-40%,Lowest price ever,$12.99,$7.79,Sale ends November 3
Azure Reflections,-50%,Matches previous low,$24.99,$12.49,Sale ends November 3
"Pokémon: Let’s Go, Pikachu!",-26%,[],$59.99,$44.49,[]
Guacamelee! One-Two Punch Collection,-19%,[],$39.99,$32.43,[]
Mortal Kombat 11: Aftermath Kollection,-26%,[],$59.99,$44.65,[]
Hotline Miami Collection,-50%,[],$24.99,$12.49,Sale ends November 2
Hollow,-90%,[],$19.99,$1.99,"Sale is already over, but Deku Deals hasn't updated the price yet. Sorry!"
WWE 2K Battlegrounds,-25%,Lowest price ever,$39.99,$29.99,Sale ends in 14 hours
Uncanny Valley,-75%,Matches previous low,$9.99,$2.49,Sale ends November 4
Toki Tori,-60%,[],$4.99,$1.99,Sale ends November 5
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 ROAD TO BORUTO,-10%,[],$49.99,$44.99,[]
Crypt of the NecroDancer: Nintendo Switch Edition,-80%,Matches previous low,$19.99,$3.99,Sale ends November 11
TT Isle of Man,-20%,[],$49.99,$39.99,[]
Battle Princess Madelyn,-75%,Matches previous low,$19.99,$4.99,Sale ends November 9
World of Goo,-33%,[],$14.99,$9.99,[]
Here Be Dragons,-35%,Lowest price ever,$17.99,$11.69,Sale ends November 4
Goodbye Deponia,-75%,Lowest price ever,$19.99,$4.99,Sale ends November 11
Vostok Inc.,-75%,Lowest price ever,$14.99,$3.74,Sale ends in 23 hours
Lydia,-50%,Matches previous low,$4.00,$2.00,Sale ends November 7
Shikhondo - Soul Eater,-70%,Matches previous low,$13.99,$4.19,Sale ends November 4
Sid Meier’s Civilization VI,-75%,[],$59.99,$14.99,[]
She and the Light Bearer,-50%,Matches previous low,$9.99,$4.99,Sale ends November 8
Super Dragon Ball Heroes World Mission,-50%,[],$59.99,$29.83,[]
The Legend of Zelda: Breath of the Wild,-25%,[],$59.99,$44.99,[]
Don't Starve: Nintendo Switch Edition,-75%,Matches previous low,$19.99,$4.99,Sale ends November 2
Mega Man Zero/ZX Legacy Collection,-25%,[],$29.99,$22.49,Sale ends in 38 hours
Nickelodeon Kart Racers 2: Grand Prix,-15%,Matches previous low,$39.99,$33.88,[]
Pipe Push Paradise,-75%,Matches previous low,$10.99,$2.74,Sale ends November 4
My Big Sister,-40%,Matches previous low,$5.99,$3.59,Sale ends November 3
Farming Simulator 20,-33%,[],$44.99,$29.99,[]
Bulb Boy,-75%,[],$8.99,$2.24,Sale ends November 5
Holy Potatoes! A Weapon Shop?!,-70%,Lowest price ever,$14.99,$4.49,Sale ends November 1
"Snipperclips – Cut it out, together!",-38%,[],$19.99,$12.47,[]
GIGA WRECKER ALT.,-50%,Matches previous low,$24.99,$12.49,Sale ends November 1
DragonFangZ - The Rose & Dungeon of Time,-50%,Matches previous low,$24.99,$12.49,Sale ends November 6
Spaceland,-50%,Matches previous low,$19.99,$9.99,Sale ends November 9
Hello Neighbor Hide and Seek,-30%,[],$29.99,$21.04,[]
Blossom Tales: The Sleeping King,-50%,Matches previous low,$14.99,$7.49,Sale ends in 14 hours
Mario + Rabbids Kingdom Battle,-75%,Matches previous low,$59.99,$14.99,Sale ends November 1
No Straight Roads,-25%,Lowest price ever,$39.99,$29.99,Sale ends November 1
Sphinx and the Cursed Mummy,-50%,[],$29.99,$14.99,Sale ends November 5
Cars 3: Driven to Win,-75%,Matches previous low,$39.99,$9.99,Sale ends November 2
Kirby Star Allies,-17%,[],$59.99,$49.94,[]
The Great Perhaps,-50%,Matches previous low,$9.99,$4.99,Sale ends November 2
Splatoon 2,-33%,[],$59.99,$39.99,[]
SuperEpic: The Entertainment War,-50%,Lowest price ever,$17.99,$8.99,Sale ends November 4
Super Street: Racer,-56%,Matches previous low,$39.99,$17.49,Sale ends November 1
Genki Audio - Neon,-20%,Lowest price ever,$49.99,$39.99,[]
Ice Age Scrat's Nutty Adventure!,-50%,Matches previous low,$39.99,$19.93,[]
Mario + Rabbids Kingdom Battle : Season Pass,-50%,Matches previous low,$19.99,$9.99,Sale ends November 1
LEGO Marvel Super Heroes 2,-70%,Matches previous low,$29.99,$8.99,Sale ends November 2
InnerSpace,-10%,[],$19.99,$17.99,[]
The Bunker,-50%,Matches previous low,$12.99,$6.49,Sale ends November 5
Carnival Games,-63%,[],$39.99,$14.99,[]
